S,K,PRICE,mu,T,C_IV
451.85,370,88.84,0.000173446,0.791780822,0.26535
451.85,375,84.54,0.000187411,0.791780822,0.26033
451.85,380,80.28,0.000202256,0.791780822,0.25446
451.85,385,76.04,0.000218054,0.791780822,0.24997
451.85,390,71.87,0.000234607,0.791780822,0.2443
451.85,395,67.76,0.000252296,0.791780822,0.23965
451.85,400,64.25,0.000268654,0.791780822,0.23453
451.85,405,60.17,0.000288807,0.791780822,0.22968
451.85,410,56.22,0.000310132,0.791780822,0.22428
451.85,415,52.6,0.000331129,0.791780822,0.21883
451.85,310,144.47,7.73E-05,1.04109589,0.31121
451.85,315,139.92,8.62E-05,1.04109589,0.30737
451.85,320,135.39,9.56E-05,1.04109589,0.30247
451.85,325,130.41,0.000105556,1.04109589,0.29834
451.85,330,126.43,0.000116008,1.04109589,0.29376
451.85,335,122,0.000126911,1.04109589,0.28951
451.85,340,117.59,0.000139462,1.04109589,0.28528
451.85,345,112.76,0.000150588,1.04109589,0.28097
451.85,350,108.25,0.000163616,1.04109589,0.27672
451.85,355,104.14,0.000176476,1.04109589,0.27283
451.85,360,99.88,0.000189933,1.04109589,0.26767
451.85,365,96.09,0.000203018,1.04109589,0.26351
451.85,370,91.9,0.000217711,1.04109589,0.25939
451.85,375,87.75,0.00023305,1.04109589,0.25485
451.85,380,83.64,0.000249207,1.04109589,0.25032
451.85,385,79.58,0.000266142,1.04109589,0.24601
451.85,390,75.57,0.000283942,1.04109589,0.24169
451.85,395,71.6,0.000302584,1.04109589,0.23619
451.85,400,67.68,0.000322408,1.04109589,0.23243
451.85,405,63.69,0.000344205,1.04109589,0.22727
451.85,410,60.01,0.000365642,1.04109589,0.22343
451.85,415,56.5,0.000387688,1.04109589,0.21857
451.85,310,144.74,0.000103051,1.290520548,0.30107
451.85,315,140.26,0.000113391,1.290520548,0.29697
451.85,320,135.8,0.000124222,1.290520548,0.29345
451.85,325,131.38,0.000135521,1.290520548,0.28924
451.85,330,126.99,0.00014743,1.290520548,0.28514
451.85,335,122.65,0.000159809,1.290520548,0.28159
451.85,340,118.32,0.000172579,1.290520548,0.27787
451.85,345,114.02,0.000185966,1.290520548,0.27371
451.85,350,109.77,0.000199799,1.290520548,0.27019
451.85,355,105.57,0.000214188,1.290520548,0.26625
451.85,360,101.37,0.000229243,1.290520548,0.26148
451.85,365,97.22,0.000244877,1.290520548,0.25827
451.85,370,93.11,0.00026119,1.290520548,0.25403
451.85,375,89.06,0.000278161,1.290520548,0.24945
451.85,380,85.02,0.000296665,1.290520548,0.24536
451.85,385,82.1,0.0003101,1.290520548,0.24212
451.85,390,78.15,0.000329871,1.290520548,0.23831
451.85,395,74.28,0.000349969,1.290520548,0.23407
451.85,400,70.48,0.000370848,1.290520548,0.22964
451.85,405,66.69,0.000393222,1.290520548,0.22578
451.85,410,63.32,0.00041431,1.290520548,0.22156
451.85,415,59.65,0.000438878,1.290520548,0.21772
